participant_id,q1_raw_regulation,q1_code,q2_raw_ethical_use,q2_code,q3_raw_creativity,q3_code,q4_raw_advantages,q4_code
P1_14,Yes because its getting realistic day by day,Strict Regulatory Advocate,yes,Broadly Permissive,whne it doesnt affect anyone personally,Ethical Realist,meeting dead ones,Educational/Societal
P1_15,"yes
in short it can destroy a persons public image if not detected.",Strict Regulatory Advocate,i dont think this is ethical at all,Highly Restrictive,in my opinion it should not be used for any living person although it should not be used for deceased people as well but this doesnt really affect the world,Ethical Realist,"no
",Invalid/Unclear
P1_16,vefjnltwpbvqnkit,Invalid/Unclear,nvfqenkot4ewk;qmwti4pjve,Invalid/Unclear,v efnwkt4oooovie[mk;aldsetoi,Invalid/Unclear,vtoen[ffwktoi4;q,Invalid/Unclear
P1_17,"Yes, because it makes things easier for most of the people",Invalid/Unclear,entertaining,Broadly Permissive,yeah,Innovation Optimist,making inappropriate things,Invalid/Unclear
P1_18,No . It is the future,Conditional/Skeptic,Education,Broadly Permissive,There is no line,Innovation Optimist,Can increase productivity,Commercial/Entertainment
P1_19,yes,Strict Regulatory Advocate,entertainment,Broadly Permissive,yes it can be useful impersonation and others might be illegal using deepfakes,Ethical Realist,entertainment,Commercial/Entertainment
P1_20,Yeah; reduces creativity ,Strict Regulatory Advocate,None,Highly Restrictive,No,Ethical Realist,None,Invalid/Unclear
P1_21,"Yes.beacause people can use it in an unethical manner
",Strict Regulatory Advocate,Yes,Broadly Permissive,Yes,Innovation Optimist,Fun content generation,Commercial/Entertainment
P1_22,"It might be debatable but mostly it should be regulated by the law because the deepfake technology has its pros and cons but the cons are very serious like they can use your deepfake to  threaten you or frame you etc etc ,so the technology must be regulated in a way that the misuse must be minimized",Conditional/Skeptic,It can be used to make deepfake videos or audios whenever you are not available to attend an important session or like that so it can be used for such benefits ,Broadly Permissive,Yes they can be of huge use for creativity and innovation. The line must be drawn when the other person feels like their privacy is being invaded,Ethical Realist,Deepfakes can be used to cover up your tasks which require your facial recognition etc,Commercial/Entertainment
P1_23,"yes definitely, because it provoking privacy",Strict Regulatory Advocate,"education ,entertainment",Broadly Permissive,"yaa,use it to recreate the values forgot by people,dont  misuse it",Ethical Realist,recalling someone who passes away by making persons with ai,Educational/Societal
P1_24,Yes they should be regulated as deepfakes as they can be used for spreading misinformation.,Strict Regulatory Advocate,In Education they can be used,Broadly Permissive,When the user doesn't know it is deepfake of not or when misinformation is being spread using deepfakes,Ethical Realist,Visualising history for students,Educational/Societal
P1_25,Yes its should be as it might to lead many complications (for ex: privacy),Strict Regulatory Advocate,i agree with the above examples,Broadly Permissive,Its better to react then use deepfake/ai as it kills creativity,Ethical Realist,To make jokes and thats it,Commercial/Entertainment
P1_26,Yes,Strict Regulatory Advocate,yes,Broadly Permissive,yes,Innovation Optimist,yes,Invalid/Unclear
P1_27,"Yes. If not regulated , people could create any photo/video of any person in any way they want .",Strict Regulatory Advocate,It can be used to generate deepfakes of actors in film industry in case the actor is unavailable at a crucial time.,Broadly Permissive,Using deepfakes to make inappropriate content about historical figure would be deemed unethical whereas using deepfakes to recreate historical incidences would be ethical and educational.,Ethical Realist,Deepfakes can be used for educational purposes,Educational/Societal
P1_28,"I think if it is being used for unethical and for sensitive issues there should definitely be laws passed, but in general no.",Conditional/Skeptic,for entertainment purposes with consent of individuals i think deepfakes can be helpful,Broadly Permissive,"nah i think thats pushing it, after all our emotions are what make us humans and i dont think deepfakes should be used for educational purposes",Ethical Realist,as mentioned above,Educational/Societal
P1_29,"Yes, I think it should be regulated by law because if its not it can be used to commit many frauds and cyber crimes",Strict Regulatory Advocate,yes it can be used in some cases like maybe for entertainment purposes or for educational purposes as well,Broadly Permissive,"yes it can be used in such creative ways.
But it shouldnt be used to make deepfake of other people without their consent",Ethical Realist,using someone's voice or photo to spread false content,Invalid/Unclear
P1_30,Yes it should be regulated as it may be misused to create fake Identities or to spread misinformation about an entity ,Strict Regulatory Advocate,Yes all the above mentioned cases,Broadly Permissive,"As long as it is not identify fraud,it is ethical",Ethical Realist,Educational purposes... consented entertainment purpose,Educational/Societal
P1_31,It should be since it has a lot of bad affects.,Strict Regulatory Advocate,for campaigning,Broadly Permissive,yes. It has to stop when there is no intervention of human creativity required.,Ethical Realist,"campaigning,advertisements",Commercial/Entertainment
P1_32,yes it shud. can cause a lot of problems.,Strict Regulatory Advocate,movies,Broadly Permissive,yes,Innovation Optimist,better understanding of things that are hard to visualise,Educational/Societal
P1_33,Yes it should be regulated as deepfake can be used to make derogatory and fake news viral on social media and wrongfully target specific groups or people leading to increase in misinformation among common people. ,Strict Regulatory Advocate,The group or people who will be related or affected by the usage of deepfake must be consulted before using deepfake,Highly Restrictive,"Yes it can be used for the following positive reasons, but the line should be made ",Ethical Realist,Generating scenes where stuntmen can be at risk,Commercial/Entertainment
P1_34,"It shouldnt becoz then ppl will use it for defamation, or other bad stuff.",Strict Regulatory Advocate,"it can be used in call centres, ai chat assistants, but with heavy regulations and monitoring. ",Highly Restrictive,"yeah u can use, no problem. but dont use it to manupilate or show false information",Ethical Realist,u can use it in call centres,Commercial/Entertainment
P1_35,Yes; It is important to not allow false information to be spread. This would affect law and court trials immensely(in an adverse way),Strict Regulatory Advocate,It may be useful for education to make animations which would be easier to vizualize.,Broadly Permissive,All deepfakes must be explicitly mentioned. ,Ethical Realist,Mentioned above,Educational/Societal
P1_36,"Yes, as people can be portrayed in a wrong way",Strict Regulatory Advocate,"sure, by informing users beforehand and if it's not harmful to any person",Highly Restrictive,"Yes, it can be done but the government should lay out strict rules on their use. It shouldn't be offensive to anyone.",Ethical Realist,Repetitive works can be automated and done easily and can reduce cost to the firm. ,Commercial/Entertainment
P1_37,"Yes, it is getting too good and realistic.",Strict Regulatory Advocate,Deepfakes could be used in films with consent to speed up shooting process,Highly Restrictive,Use of deepfake needs to be consensual. Any deepfake that is made without consent needs to be illegal,Ethical Realist,"interactive education, perhaps it could help students interact with people from certain events",Educational/Societal
P1_38,yes,Strict Regulatory Advocate,entertainment,Broadly Permissive,yes,Innovation Optimist,usimg deepfakes of dead,Educational/Societal
P1_39,yes deepfake should be regulated but with limited access because it can be very helpful to study historical and mythical figures,Conditional/Skeptic,yeah it can be used for educational purposes like we can bring historical figures to life and study about them,Broadly Permissive,yes it can be use to study mythical figures,Innovation Optimist,using deepfake one can express oneself using other's body,Commercial/Entertainment
P1_40,"Yes, it should be regulated by law. Rampant usage of deepfake can be harmful to people and their rights.",Strict Regulatory Advocate,"For creation of youtube videos, but using the permission of the person.",Highly Restrictive,Yes,Innovation Optimist,Youtube video,Commercial/Entertainment
P1_41,Yeah,Strict Regulatory Advocate,-NA-,Invalid/Unclear,yeah it can be used.,Innovation Optimist,Recreating memories we cherish.,Commercial/Entertainment
P1_42,no,Conditional/Skeptic,"yea, for gandhijis birthday we can make a deepfake of him adresssing the nation",Broadly Permissive,"yes, the line is drawn when it is used for deepfaking personalties and spreading wrong information about their beliefs and opinions.",Ethical Realist,fun,Commercial/Entertainment
P1_43,"yes, can be used for malpractices",Strict Regulatory Advocate,education,Broadly Permissive,"yes, the line is when it starts to negatively affect someone",Ethical Realist,Can be used for bringing historical figures to life making understanding easy,Educational/Societal
P1_44,"yes, because it can be used for wrong purposes",Strict Regulatory Advocate,Yeah It can be used.,Broadly Permissive,"Yes It should be used,however it shouldnt cross personal boundaries and hurt the emotions of the people",Ethical Realist,ok,Invalid/Unclear
P1_45,Yes as it can be used to do cybercrimes.,Strict Regulatory Advocate,Politics,Broadly Permissive,Yes.,Innovation Optimist,To generate images and videos like before.,Educational/Societal
P1_46,"Yes, since it can be used for illegal/blackmail purposes",Strict Regulatory Advocate,for entertainment purposes,Broadly Permissive,If it doesn't harm or hurt anyone's beliefs then it can be considered ethical,Ethical Realist,for entertainment or eduation,Commercial/Entertainment
P1_47,Yes because it should only be used for good purpose and ethically.,Conditional/Skeptic,In education it can be used ethically to make educational videos which would help students.,Broadly Permissive,Yes it can be used to bring historical figures back to life for teaching purpose as students would better understand the history.It's unethical use will be using it for entertainment purpose or on social media as meme.,Ethical Realist,In education,Educational/Societal
P1_48,Yes. It can be used in unethical ways to defame someone,Strict Regulatory Advocate,Can be used in entertainment industry when actors are unavailable ,Broadly Permissive,Yes if the person is informed beforehand and is ok with it then the use is ethical,Ethical Realist,"In fast and furious 7 after the actor Paul Walker passed away, the ending scenes were shot with his brother using deepfakes",Commercial/Entertainment
P1_49,"No, if govt regulates, it takes away the freedom of the internet.",Conditional/Skeptic,"Deepfake can be ethically used as long as the consent of the person being deepfaked is taken. if it has, it can be used for wahtever purpose in their repective field. eg; alakh for education",Highly Restrictive,"it surely can, it can be used in museums and historical places, to depict the ancient times and prominent figures of the era",Innovation Optimist," it can be used in museums and historical places, to depict the ancient times and promiennt figures of the era",Educational/Societal
P1_50,no it can be misused,Strict Regulatory Advocate,in making anime,Broadly Permissive,yes it should be used so that we can know about our ancestors and their brave movement,Innovation Optimist,in creating educational purposes videos ,Educational/Societal
P1_51,"Yes, it gets hard to identify the truth
And I don't see the necessity of deep fakes
Except bad intentions ",Strict Regulatory Advocate,I don't think it is useful at all,Highly Restrictive,"No, art should not be faked
Art is creativity
But bringing historical figures to life sounds nice",Ethical Realist,Can be used for creating a living memory of expired people ,Educational/Societal
P1_52,it should be used in proper way and not in the way to hurt someone's personality.,Strict Regulatory Advocate,for entertainment,Broadly Permissive,it should use to show true things using deepfake rather than showing everything fake.,Ethical Realist,for entertainment purpose and for visualising something not possible to visualise.,Commercial/Entertainment
P1_53,Yes because it isn't ethical.,Strict Regulatory Advocate,It can't be used ethically.,Highly Restrictive,No,Ethical Realist,No possible advantages are there.,Invalid/Unclear
P1_54,"Yes , the use of deepfake technology should be regulated by law .Because as it can be misuse for cyber-crime and to defame a individual or group of people.",Strict Regulatory Advocate,"Yes , It can be use to make education video in less time and enable to deliver more content in less time.",Broadly Permissive,"Yes , it is a good way to  bring historical figures to life for educational purposes or enhancing storytelling in films.",Innovation Optimist,"In movie , we can make a movie with your favorite actors.",Commercial/Entertainment
P1_55,Yes it should be regulated by the law. If it is not regulated it will lead to many fake things over the internet and there will definitely be misuse of the AI.,Strict Regulatory Advocate,"There can be use of AI in movies and for educational purposes, but using DeepFake tech without the consent of the person should be illegal, we have alredy seen use of AI in movies, like De-Aging tech",Highly Restrictive,"Like i have mentioned it for the above question, it can be used for educational purposes, it would be a really good use of the tech",Innovation Optimist,"It can be used in movies for example, like it can be used in De-Aging and for the voice generation(For Dubbing maybe) but it should be done legally ryt",Commercial/Entertainment
P1_56,"yes, it can be used to  create inappropriate images of people",Strict Regulatory Advocate,it can be used to relish the memories of people who died,Broadly Permissive,"yes,it can be used but we should agree we should draw a line",Ethical Realist,it can be used to create good images of people,Commercial/Entertainment
P1_57,yes,Strict Regulatory Advocate,in entertainment and education,Broadly Permissive,"yes ,it can be used. unethical use would be that deepfake tech used for fake news and using a person face or voice without consent.",Ethical Realist,in online classes historical figures can themselves teach.,Educational/Societal
P1_58,"Yes, to prevent misuse by people intending to cause chaos or defame someone by making their deepfake",Strict Regulatory Advocate,It should only be used for entertainment purposes with a disclaimer before hand,Highly Restrictive,"Yes, as long as it is clearly mentioned it is a deepfake and has no offensive content",Ethical Realist,It can be used for entertainment purposes,Commercial/Entertainment
P1_59,yes i think the use of deepfake technology should be regulated by law as it breaches the privacy of many who are subjected to it.,Strict Regulatory Advocate,to generate educational content or such it can be useful.,Broadly Permissive,yes we can bring historic figures to life to enhance story telling. Just that we have to be respectful of whatever we use the tech for.,Ethical Realist,Making a historic figure inspire people. To create educational content for kids.,Educational/Societal
P1_60,"Yes , it should be regulated as unregulated use of deepfakes will lead to mistrust and misinformation among the general unaware public",Strict Regulatory Advocate,"Movies in entertainment , visualisations in education",Broadly Permissive,"Yes it can be used to create movies photos etc ,they cross the ethical line when they deceive, exploit, or use someone’s likeness without permission.",Ethical Realist,"A museum can use deepfake tech to create an interactive historical figure.
A deceased actor’s can give a brief cameo in movies",Educational/Societal
P1_61,"No it shouldn't be, because it can lead to privacy breach and many other things.",Conditional/Skeptic,Yeah it can be used to learn history in schools.,Broadly Permissive,"Unless the opinion expressed by the deepfake is opposite to the original figure or it isn't very controversial or hurting anyones thought or beliefs, it can ysed",Ethical Realist,It can be spread awareness among our citizens to keep our country clean and follow laws if we use the deepfakes of our great nation heroes ,Educational/Societal
P1_62,Yes it should be regulated because someone can use this to blackmale others etc.,Strict Regulatory Advocate,In education,Broadly Permissive,yes.If somebody is using it to corrupt peoples l=mind then it shouldn't be used.,Ethical Realist,To bring back deceased family members to life so people can get some closure if they had died in some unfortunate circumstance.,Educational/Societal
P1_63,deepfake,Invalid/Unclear,deepfake,Invalid/Unclear,yes,Innovation Optimist,can be used to prank my friend,Commercial/Entertainment
P1_64,"yes it should be regulated,can be used in scamming",Strict Regulatory Advocate,probably for entertainment and stuff,Broadly Permissive,"yes,as long as it is not used to spread misinformation",Ethical Realist,maybe for shows and stuff like that,Commercial/Entertainment
P1_65,yeah I think it should be regulated cuz it will cause a lot of harm to our society if in wrong hands.,Strict Regulatory Advocate,for educational awareness .,Broadly Permissive,"No I am completely against the use of deepfake i any form of art whether its music,films, or paintings ",Ethical Realist,bringing back important historical figures.,Educational/Societal
P1_66,Yes because it can often lead to unethical practices that can result in character assassination etc.,Strict Regulatory Advocate,"It can be used to relive memories of people, create songs of artists who are no more to relive memories.",Broadly Permissive,"Yes, that's a very good initiative but use of the famous personality's face to convey misleading messages maybe harmful",Ethical Realist,To relive/ recreate memories. Eg: Listen to a new popular Bollywood song in the voice of old artists like Kishore Kumar.,Commercial/Entertainment
P1_67,no ,Conditional/Skeptic,yes ethically used in case of entertainment ,Broadly Permissive,yes if students use for education purposes then it will be useful ,Innovation Optimist,it can be used in the entertainment,Commercial/Entertainment
P1_68,"NO ,because it will be useful in many ways for the other good.",Conditional/Skeptic,When we need some fun or help it can help us also it helps a lot in eucation.,Broadly Permissive,yes it can be a good tool but.I cant find any unethical use,Ethical Realist,while studing or learning about new skills and proper plan and guidance,Educational/Societal
P1_69,It should be regulated because content creators can mislead people,Strict Regulatory Advocate,It can be ethically used for education purposes,Broadly Permissive,Ya it can be a tool for creativity and innovation,Innovation Optimist,Content can be easily made without much effort,Commercial/Entertainment
P1_70,yes we can use it under rules and regulation ,Conditional/Skeptic,to catch criminals ,Broadly Permissive,yes ,Innovation Optimist,can be used to use anyone voice if important but the person is not available ,Commercial/Entertainment
P1_71,yes because it could be misused,Strict Regulatory Advocate,it is used to preach for well being,Broadly Permissive,"consent & permission, intent to deceive or harm",Ethical Realist,Revolutionizing education and culture,Educational/Societal
P1_72,"yes, i couldnt tell the difference between most of the audio sounds",Strict Regulatory Advocate,education maybe to show a movie with how the characters actually looked like etc,Broadly Permissive,"yes, however it shouldnt be used to make vedios of people.. since it can become very controversial while the person had no hand in it",Ethical Realist,"creating online models, education etc",Educational/Societal
P1_73,"Yes, it should be regulated by law. Because if it is used for bad intentions can cause many problems.",Strict Regulatory Advocate,We can use it by taking permission from the copied individuals.,Highly Restrictive,"Yes, it can be used to be creative. As long as we use it without disturbing the privacy of others, it is ethical.",Ethical Realist,"We can make historical events using deepfakes which can be better understanding for teaching kids, etc.",Educational/Societal
P1_74,yes because peoples can use u r face and by the help of ai they can create images and even videos of u r which can be toxic for u and u r reputation in society .,Strict Regulatory Advocate,yes if it is used for good work then fine like we can make advertisment or some social issue related things .,Broadly Permissive,yes it can be used for educational purpose .,Innovation Optimist,"for education purpose , like by showing image of some king we can make his live video",Educational/Societal
P1_75,"yes, to protect privacy of famous personnalities and also for security of an individual",Strict Regulatory Advocate,Education,Broadly Permissive,"Yes it can a tool for creativity and innovation, ethical- when used with the permission, or bringing historical figures, unethical - using without permission, dirty practices, etc",Ethical Realist,"An advantage could be in educational use like teaching history and having the historical characters in use, etc.",Educational/Societal
P1_76,"Yes, as people with ill intentions are prone to missuse it",Strict Regulatory Advocate,"teaching sector, animation",Broadly Permissive,"Using deepfake to forge false evidences or settle personal scores, or scam gullible people",Ethical Realist,Bringing historical figures to life ,Educational/Societal
P1_77,no because it is useful in so many ways ,Conditional/Skeptic,"in entertainment , education ,politics in so man y ways deep fake detection is used it is used a lot",Broadly Permissive,yes i dont draw any line i think so,Innovation Optimist,do for comedy purposes because some body will become serious ,Commercial/Entertainment
P1_78,yes,Strict Regulatory Advocate,There are none,Highly Restrictive,I'd say it is ethical as long as the viewer is informed that the media uses deepfake.,Ethical Realist,None,Invalid/Unclear
P1_79,"Yes, because people can misuse it ! ",Strict Regulatory Advocate,Like for educational purposes ,Broadly Permissive,"Yes, it can be used in ethical way .. until you're not harming others and the people of society",Ethical Realist,"It is time efficient, we can save our lot of time and like generate own quiz and tests",Educational/Societal
P1_80,yes,Strict Regulatory Advocate,entertainment,Broadly Permissive,yes,Innovation Optimist,in movies,Commercial/Entertainment
P1_81,"Yes, it is essential to regulate over deepfakes as it could really harm us",Strict Regulatory Advocate,If we want to have a conversation with our passed away relative there having the ability to talk to them and see them might be a good idea,Broadly Permissive,"Yes, but making them perform some unethical use is not correct",Ethical Realist,"Being able to talk to your passed away relative, able to learn directly from the historical figures and many more",Educational/Societal
P1_82,gov should not control deepfakes because they couldn't control them,Conditional/Skeptic,Yes for impersonating a person in his absence,Broadly Permissive,Yes they can be but the content they are sharing should be verified,Ethical Realist,They can be used to bring different people to life and get their perspective.,Educational/Societal
P1_83,"yes, because it may regulate some information",Strict Regulatory Advocate,no,Highly Restrictive,yes but in some of the topic,Ethical Realist,in study,Educational/Societal
P1_84,It is not as useful as it looks,Strict Regulatory Advocate,for making educational videos,Broadly Permissive,yes,Innovation Optimist,for making good content for gen Z,Educational/Societal
P1_85,yes because it can lead to misrepresentation in media and distrust in sources,Strict Regulatory Advocate,it could be used ethically for entertainment purposes to ease load on the actors but only with their full consent ,Highly Restrictive,no this should not be done to prevent propaganda and all use should be regulated,Ethical Realist,a big advantage can be improving the cast for media projects in entertainment industry ,Commercial/Entertainment
P1_86,"No, I don't think that the use of deepfake technology should be regulated by law, because people can use it in the wrong way, which they are not supposed to do.",Strict Regulatory Advocate,"In many situtations deepfake technology can be very helpful like entertainment, education, ethical activities.",Broadly Permissive,"Using deepfake technology can surely be a perfect tool, it can make learning process so easy. Students who find learning history will now enjoy using the life like statues talking to them, telling their own stories.",Innovation Optimist,"There can be many advantages of using the deepfake technology, such that it can be used in educational purposes, entertainment, etc.",Educational/Societal
P1_87,"Yes,  it can influence reality at some point.",Strict Regulatory Advocate,"entertainment and education maybe, but in any situation it can still be misused to a huge extent.",Highly Restrictive,"When they start to influence real life objects, as long as it is virtual unrelated to anyone or anything, it should be fine.",Ethical Realist,Could help people who have auditory processing disorder,Educational/Societal
P1_88,"I think it should be regulated, this technology can be misused in various ways people can use it to pretend to be someone else and cause issues in the others personal life thus this technology needs to be regulated. ",Strict Regulatory Advocate,this technology can be used in the entertainment industry to help show historical figures more accurately,Broadly Permissive,I believe that the use is fine as long as the individuals being deepfake have given consent for this to happen or if the individual is no more than his remaining family is consenting to the deepfake otherwise it should be unethical ,Ethical Realist,this technology can be used in the entertainment industry to help show historical figures more accurately,Educational/Societal
P1_89,"yes , because is can affect our privacy, for example ......some can use our deepfake video or voice to spread misinformation .",Strict Regulatory Advocate,"for misleading and spreading wrong information,....it can be also used to spread hate about someone ,etc.",Highly Restrictive,yes it can be . ,Innovation Optimist,"it can help company for advertisement, in very less Invesment!",Commercial/Entertainment
P1_90,"Yes, it should be regulated by law. The technology to imitate someone else to such an extent should definitely be regulated by law and consent should also be taken from the party who is being imitated and the party who is being subjected to the deepfake. ",Strict Regulatory Advocate,Education and entertainment are good uses for this technology.,Broadly Permissive,"Yes, it can definitely be used for creative purposes. I feel like it is ethical as long as it benefits society as a whole and not a singular person.",Ethical Realist,They can be used to replace news reporters.,Commercial/Entertainment
P1_91,"Yes ,it should be regulated cause there can be an illegal use of others personal pictures or voices in a wrong way without their permission.",Strict Regulatory Advocate,deepfakes can be used in bringing historical figures or other people who passed away to bring them back to life just for educational and emotional purposes.,Broadly Permissive,yes.we can use deepfakes as long as no one is hurt by them.,Ethical Realist,for bringing back dead people to life in a photo which can give emotional support to their close ones,Educational/Societal
P1_92,"Yes , So we can differentiate real and fake news",Strict Regulatory Advocate,Entertainment ,Broadly Permissive,Yes,Innovation Optimist,Time reducing ,Commercial/Entertainment
P1_93,It should be regulated heavily as it can be misleading and lead to confusion among people. Especially those people who arent aware of deepfake technology.,Strict Regulatory Advocate,I can think of very few cases where deepfake tech can be used ethically. One good use of it could be in entertainment if the actor agrees beforehand for the use of it. Right now the tech isnt nearly good enough to be used as a substitiute for an actor. Maybe in the future if it is then it could be allowed in very select places.,Highly Restrictive,That is a good use of deepfake tech i feel like. As of right now I think it brings more negatives than positives though. ,Ethical Realist,Maybe deepfakes could be used in crime investigations to simulate to a victim how the person who affected them was. Maybe if we get a clear photo of them in our mind we can can catch criminals more easily.,Educational/Societal
P1_94,"Yes, considering the fact that deepfake technology keeps getting closer at imitating people and voices, so false information can be spread in a way as if said by a targeted person.",Strict Regulatory Advocate,Against terrorist communities,Broadly Permissive,Yes. Some deepfake can be deemed unethical if it does/says something different from what that person has already said.,Ethical Realist,Faking terrorist communities,Educational/Societal
P1_95,"YES IT SHOULD REGULATED BY LAW 
AS IT MAY BE USED BY CRIMINALS TO FRAUD AND CHEAT PEOPLE 
MAY MISUSE",Strict Regulatory Advocate,IT CAN BE USED FOR MOVIES LIKE ENTERTAINMENT AND EDUCATION WHEN YOU HAVE DOUBT OF ANY TOPIC AND IN MOVIES AS SUBSITUTE OF ACTORS,Broadly Permissive,YES IT CAN BE USED IN CONENT CREATION AND USING IN MANY FLIMS AND MANY SECTIONS OF INDUSTRY TO MANFACTURE NEW PRODUCT TECHNOLOGY,Innovation Optimist,IT IS EASY TO ACCESS AND USE FOR CONTENT CREATING AND EASY GRASPING OF KNOWLEDGE WHERE YOU CAN EFFORT LESS DESIGN THINGS AND CONENT ALSO,Educational/Societal
P1_96,sure why not until and unless there are rules and regulations  against misuse and misconduct pertaining to anyones identity and if the person on which it is used doesnt like the form of content can restrict any further use of that content ,Strict Regulatory Advocate,"to catch criminals by enacting the crime scene and finding for any clues. 

Using deepfakes to de-age actors, recreate historical figures, or continue performances after an actor’s death (with consent from their family/estate).

As long as audiences are clearly informed it is fictional, avoiding deception.",Highly Restrictive,"yes, until it is not used for identity theft or for any misleading activities.",Ethical Realist,"Make learning more engaging and accessible.

A history class could use deepfakes to create a lifelike recreation of historical figures (e.g., Gandhi explaining his philosophy) while clearly informing students that it is a synthetic re-creation.",Educational/Societal
P1_97,It should be regulated by law because not everyone is aware when they use/see AI. It can be quite dangerous if a public figure advises wrongly,Strict Regulatory Advocate,It can be used if its done carefully for example if some political leader is not available to give an important message,Highly Restrictive,It definitely can be used in that way. ,Innovation Optimist,Bringing back historical figures to life,Educational/Societal
P1_98,"Yes, it should be regulated. Deepfake technology can be misused in various ways such as defamation of a person, spreading of hate speech.  ",Strict Regulatory Advocate,"Disney used the deepfake technoloogy to bring back several of its old characters to life, in the Star Wars franchise, such usecases can be considered ethical.",Broadly Permissive,"Yes, as mentioned inthe previous answer, deepfake technology be a tool for creativity and innovation, such as bringing historical figures to life for educational purposes or enhancing storytelling in films. Where to draw the line is a matter of much debate.",Innovation Optimist,bringing historical figures to life for educational purposes..,Educational/Societal
P1_99,"Yes, the use of deepfake should be regulated by the law because people can misuse this technology, they can demean others by putting others' faces which could be devastating.",Strict Regulatory Advocate,"We can used deepfake technology ethically in many ways, and in fact are being used, such as the voice of Darth Vader from the franchise Star Wars, the VA though as passed away, but his voice is now being used for present movies, we can even used deepfake of famous personalities to promote and motivate.",Broadly Permissive,"Yes, we can use it as a tool for creativity and innovation. We draw the line when faces of common people are used without their consent, especially in obscene videos.",Ethical Realist,"To educate others, motivate by using famous freedom fighters as a face, movies, web series, and many more.",Educational/Societal
P1_100,"I think not because it gives govt. more power to censor, which they can use to violate the free sppech and right to expresion.",Conditional/Skeptic,"for satirical purposes , and if it is quite evident that it is deepfake then i think it is ethical. For creative purposes , for example, someone made a song remix with Kishor Kumnar's voice by using deepfgake.",Broadly Permissive,"I Think the answer here is subjective as it depends on the figure of whom the deepfake is being made, but spreading misinformation throgh deepfakes is surely an unethical use.",Ethical Realist,"like for example , Kishore Kumar's version of sayiraa song using deepfakes as it is quite entertaing and creative.",Commercial/Entertainment
P1_101,yes. To make sure to not misuse,Strict Regulatory Advocate,It can give speeches ,Broadly Permissive,Yes so that we can visualize them,Innovation Optimist,A person who is not able to speak can use this and he can convey what he wants to say,Educational/Societal
